,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta1,params_beta2,params_conv_layer0_activation,params_conv_layer0_dropout_p,params_conv_layer0_filters,params_conv_layer1_activation,params_conv_layer1_dropout_p,params_conv_layer1_filters,params_conv_layer2_activation,params_conv_layer2_dropout_p,params_conv_layer2_filters,params_conv_layer3_activation,params_conv_layer3_dropout_p,params_conv_layer3_filters,params_dense_layer0_activation,params_dense_layer0_batchnorm_used,params_dense_layer0_dropout_p,params_dense_layer0_n_neurons,params_dense_layer1_activation,params_dense_layer1_batchnorm_used,params_dense_layer1_dropout_p,params_dense_layer1_n_neurons,params_dense_layer2_activation,params_dense_layer2_batchnorm_used,params_dense_layer2_dropout_p,params_dense_layer2_n_neurons,params_lr,params_momentum,params_n_conv_layers,params_n_dense_layers,params_optimizer,params_weight_decay,state
58,58,0.5633740991353988,2026-04-04 19:58:19.308801,2026-04-04 19:58:27.609541,0 days 00:00:08.300740,,0.7145812749657706,0.95878695424049,relu,0.14439383538369435,256,leaky_relu,0.17287749782334894,16,,,,,,,leaky_relu,False,0.03567933905837138,64,,,,,,,,,0.0033096748911890005,,2,1,Adam,3.7321534547281036e-05,PRUNED
59,59,0.5088758140802383,2026-04-04 19:58:27.618597,2026-04-04 19:58:36.762758,0 days 00:00:09.144161,0.8779146183302513,,,relu,0.3006412846180923,256,leaky_relu,0.02448440200065273,16,relu,0.09444001246537068,256.0,,,,leaky_relu,False,0.08888324550513466,64,,,,,,,,,0.0023136695518049524,,3,1,RMSprop,8.348643434449133e-05,PRUNED
60,60,0.30887080207467077,2026-04-04 19:58:36.772355,2026-04-04 19:58:44.700460,0 days 00:00:07.928105,,0.9038165955173636,0.9712214959377616,relu,0.07431019220240304,16,leaky_relu,0.05512320948573828,32,leaky_relu,0.2416040833596803,256.0,leaky_relu,0.017071126172022215,256.0,leaky_relu,False,0.24890850086310717,64,leaky_relu,False,0.1944866474849561,32.0,,,,,0.0030516886553285574,,4,2,Adam,7.089961691427842e-05,COMPLETE
61,61,0.2793610133230686,2026-04-04 19:58:44.715398,2026-04-04 19:59:04.040030,0 days 00:00:19.324632,,0.7805377897760187,0.9560446737184016,relu,0.39887920464990273,256,leaky_relu,0.06261829671591423,16,relu,0.07689331798716606,256.0,leaky_relu,0.0601407190589498,256.0,leaky_relu,False,0.03286428931034575,64,,,,,,,,,0.004845310002378521,,4,1,Adam,5.698133357485153e-05,COMPLETE
62,62,0.2858529508113861,2026-04-04 19:59:04.052584,2026-04-04 19:59:23.386198,0 days 00:00:19.333614,,0.9219927267099461,0.9555700661745834,relu,0.3985543088477793,256,leaky_relu,0.06319015537632694,16,relu,0.07101673917354229,256.0,leaky_relu,0.05426951518748312,256.0,leaky_relu,False,0.0461864245324633,64,,,,,,,,,0.004251861145550444,,4,1,Adam,5.07413362032538e-05,COMPLETE
63,63,0.42996382862329485,2026-04-04 19:59:23.397698,2026-04-04 19:59:33.132335,0 days 00:00:09.734637,,0.8851996450805472,0.9625599294729379,relu,0.37631463881791255,256,leaky_relu,0.10839282760826474,16,relu,0.3220794809542239,256.0,leaky_relu,0.12177093373009386,256.0,leaky_relu,False,0.013011147935275282,64,,,,,,,,,0.005257178952366395,,4,1,Adam,0.00012614877490500656,PRUNED
64,64,0.26550149992108346,2026-04-04 19:59:33.141739,2026-04-04 19:59:52.457574,0 days 00:00:19.315835,,0.7550238449015815,0.9666937351628635,relu,0.35831527264283186,256,leaky_relu,0.0820900890873578,16,relu,0.0951644845548723,256.0,leaky_relu,0.09122611204977933,256.0,leaky_relu,False,0.031656726276525424,64,,,,,,,,,0.001785470995296372,,4,1,Adam,9.143361182834298e-05,COMPLETE
65,65,0.4384431213140488,2026-04-04 19:59:52.468464,2026-04-04 20:00:01.211316,0 days 00:00:08.742852,,0.7519682871123581,0.9694021149301606,relu,0.3847468154624484,256,leaky_relu,0.00012427710961356725,16,relu,0.04480798843019897,32.0,leaky_relu,0.10448244603677082,256.0,leaky_relu,False,0.05030106828856811,64,,,,,,,,,0.0017295840205024103,,4,1,Adam,9.723086845380217e-05,PRUNED
66,66,0.42922393083572385,2026-04-04 20:00:01.221744,2026-04-04 20:00:10.571009,0 days 00:00:09.349265,,0.7255577484060864,0.9738956730391463,relu,0.3390797303535916,256,leaky_relu,0.12191746121706416,16,relu,0.09015763635627744,256.0,leaky_relu,0.0009433330874490942,64.0,leaky_relu,False,0.035047996812605495,64,,,,,,,,,0.0013678547222965515,,4,1,Adam,7.419129710506938e-05,PRUNED
67,67,0.3029907330870628,2026-04-04 20:00:10.581805,2026-04-04 20:00:29.877138,0 days 00:00:19.295333,,0.7815928808300497,0.9665261957943416,relu,0.3663633804907511,256,leaky_relu,0.08608400866883938,16,relu,0.07239641680356995,256.0,leaky_relu,0.12292521057325763,256.0,leaky_relu,False,0.016523969954217822,64,,,,,,,,,0.0010862634270440647,,4,1,Adam,0.00011685145469186785,COMPLETE
68,68,2.2751924276351927,2026-04-04 20:00:29.887925,2026-04-04 20:00:48.201694,0 days 00:00:18.313769,,,,relu,0.3876486359858568,256,leaky_relu,0.10040063530646409,256,relu,0.024982278086160756,256.0,leaky_relu,0.06202012894150739,256.0,leaky_relu,False,0.0007789565143697039,32,,,,,,,,,0.0008657891095783441,0.6223934276598913,4,1,SGD,3.941197113008662e-05,PRUNED
69,69,0.4645002007484436,2026-04-04 20:00:48.213182,2026-04-04 20:00:51.657909,0 days 00:00:03.444727,,0.8111862892165522,0.9837650501018725,relu,0.398934997615387,16,leaky_relu,0.2520890285666641,16,relu,0.10140197358010203,256.0,leaky_relu,0.17835110683608338,128.0,leaky_relu,True,0.05906036031901242,64,,,,,,,,,0.002718622947038338,,4,1,Adam,9.260326555759156e-05,PRUNED
70,70,0.2845334365963936,2026-04-04 20:00:51.670593,2026-04-04 20:01:15.873733,0 days 00:00:24.203140,,0.7325587216653769,0.9549684521123669,relu,0.358272855060795,256,leaky_relu,0.08001384079763704,128,relu,0.04726552761412914,64.0,leaky_relu,0.03217129116722182,256.0,leaky_relu,False,0.07372893974433545,64,,,,,,,,,0.001984764524585725,,4,1,Adam,7.932511259086491e-05,COMPLETE
71,71,0.2788181886076927,2026-04-04 20:01:15.887293,2026-04-04 20:01:35.195092,0 days 00:00:19.307799,,0.7520672379924633,0.9613601483027132,relu,0.3704794160772208,256,leaky_relu,0.060411998294359746,16,relu,0.14252911058849996,256.0,leaky_relu,0.08076520168031999,256.0,leaky_relu,False,0.032633866890542915,64,,,,,,,,,0.003545567082790502,,4,1,Adam,5.497296601782092e-05,COMPLETE
72,72,0.2674814246594906,2026-04-04 20:01:35.204245,2026-04-04 20:01:54.496557,0 days 00:00:19.292312,,0.7800062619902347,0.9599800569057564,relu,0.36941842574156364,256,leaky_relu,0.04488265235201193,16,relu,0.0836127610379599,256.0,leaky_relu,0.08873060324506477,256.0,leaky_relu,False,0.030066484974703808,64,,,,,,,,,0.0035983350510299912,,4,1,Adam,5.787101344372032e-05,COMPLETE
73,73,0.27166407033801077,2026-04-04 20:01:54.505678,2026-04-04 20:02:13.823738,0 days 00:00:19.318060,,0.7805143811906942,0.9661244775323415,relu,0.3177777525432925,256,leaky_relu,0.032899990530984365,16,relu,0.1267147984101381,256.0,leaky_relu,0.0933606042405024,256.0,leaky_relu,False,0.029425244848731387,64,,,,,,,,,0.0033579343043331177,,4,1,Adam,6.302560836514885e-05,COMPLETE
74,74,0.27007701620459557,2026-04-04 20:02:13.834649,2026-04-04 20:02:33.131981,0 days 00:00:19.297332,,0.7535793346098433,0.9413724650381644,relu,0.34284007446314424,256,leaky_relu,0.03456736179962704,16,relu,0.1310423800978914,256.0,leaky_relu,0.09263231264172028,256.0,leaky_relu,False,0.02805147846827766,64,,,,,,,,,0.0034040706558194746,,4,1,Adam,5.500889931289641e-05,COMPLETE
75,75,0.2576027579605579,2026-04-04 20:02:33.141702,2026-04-04 20:02:55.276296,0 days 00:00:22.134594,,0.7537759240990858,0.9314065822887476,relu,0.31268926028240307,256,leaky_relu,0.031684189894517614,64,relu,0.17446653221480696,256.0,leaky_relu,0.09435713134635759,256.0,leaky_relu,False,0.011653698433569996,64,,,,,,,,,0.0024190820928311164,,4,1,Adam,6.391362324039378e-05,COMPLETE
76,76,0.4436838760972023,2026-04-04 20:02:55.288212,2026-04-04 20:03:05.341766,0 days 00:00:10.053554,,0.7563765508801723,0.9285865045668941,relu,0.3148110913977651,256,leaky_relu,0.018372870772722684,64,relu,0.1886892036502465,16.0,leaky_relu,0.09494881337441402,256.0,relu,False,0.008946868270503512,64,,,,,,,,,0.0024890127231787353,,4,1,Adam,6.654362861968172e-05,PRUNED
77,77,0.23914116621017456,2026-04-04 20:03:05.351768,2026-04-04 20:03:26.254971,0 days 00:00:20.903203,,0.761862031768956,0.9402773952125457,relu,0.30955955404945174,256,leaky_relu,0.03182437370300047,64,relu,0.1733690912844672,128.0,relu,0.12006000160966604,256.0,leaky_relu,False,0.0196227780805927,64,,,,,,,,,0.003390458488258465,,4,1,Adam,4.0116457079723036e-05,COMPLETE
78,78,0.3395417079329491,2026-04-04 20:03:26.266689,2026-04-04 20:03:41.962466,0 days 00:00:15.695777,0.942824431559093,,,relu,0.30257818887674665,256,leaky_relu,0.03780317988398499,64,leaky_relu,0.167519218932609,128.0,relu,0.10552515429424685,256.0,leaky_relu,False,0.01901759390079061,64,,,,,,,,,0.0030509695304991933,,4,1,RMSprop,3.5640838141362416e-05,PRUNED
79,79,0.8413981765508651,2026-04-04 20:03:41.971579,2026-04-04 20:03:45.926466,0 days 00:00:03.954887,,0.7616392419834396,0.9412264136017245,relu,0.3218183100815855,32,leaky_relu,0.010430011991248923,64,relu,0.20129560433744145,128.0,relu,0.11159389136907102,16.0,leaky_relu,False,0.022357819919634925,64,relu,True,0.23466258373413024,16.0,relu,False,0.17877455894359065,64.0,0.0017434501321145917,,4,3,Adam,6.64735014360026e-05,PRUNED
